"","method","dataset","sampleSize","simulation","FPR","foldEffect","fpr","tpr","se"
"313",NA,"GLMM","5"," 4","0.1","1.5",0.09,0.998392344497608,NA
"314",NA,"GLMM","5"," 4","0.1","1.5",0.1,0.998612345679012,NA
"315",NA,"GLMM","5"," 4","0.1","1.5",0.11,0.998928270042194,NA
"316",NA,"GLMM","5"," 4","0.1","1.5",0.12,0.998375,NA
"317",NA,"GLMM","5"," 4","0.1","1.5",0.13,0.998,NA
"318",NA,"GLMM","5"," 4","0.1","1.5",0.14,0.998,NA
"319",NA,"GLMM","5"," 4","0.1","1.5",0.15,0.998,NA
"320",NA,"GLMM","5"," 4","0.1","1.5",0.16,0.998,NA
"321",NA,"GLMM","5"," 4","0.1","1.5",0.17,0.998,NA
"322",NA,"GLMM","5"," 4","0.1","1.5",0.18,0.998,NA
"323",NA,"GLMM","5"," 4","0.1","1.5",0.19,0.998,NA
"324",NA,"GLMM","5"," 4","0.1","1.5",0.2,0.998,NA
"325",NA,"GLMM","5"," 4","0.1","1.5",0.21,0.998,NA
"326",NA,"GLMM","5"," 4","0.1","1.5",0.22,0.998,NA
"327",NA,"GLMM","5"," 4","0.1","1.5",0.23,0.998,NA
"328",NA,"GLMM","5"," 4","0.1","1.5",0.24,0.998,NA
"329",NA,"GLMM","5"," 4","0.1","1.5",0.25,0.998,NA
"330",NA,"GLMM","5"," 4","0.1","1.5",0.26,0.998,NA
"331",NA,"GLMM","5"," 4","0.1","1.5",0.27,0.998,NA
"332",NA,"GLMM","5"," 4","0.1","1.5",0.28,0.998,NA
"333",NA,"GLMM","5"," 4","0.1","1.5",0.29,0.998,NA
"334",NA,"GLMM","5"," 4","0.1","1.5",0.3,0.998,NA
"335",NA,"GLMM","5"," 4","0.1","1.5",0.31,0.998,NA
"336",NA,"GLMM","5"," 4","0.1","1.5",0.32,0.998,NA
"337",NA,"GLMM","5"," 4","0.1","1.5",0.33,0.998,NA
"338",NA,"GLMM","5"," 4","0.1","1.5",0.34,0.998,NA
"339",NA,"GLMM","5"," 4","0.1","1.5",0.35,0.998,NA
"340",NA,"GLMM","5"," 4","0.1","1.5",0.36,0.998,NA
"341",NA,"GLMM","5"," 4","0.1","1.5",0.37,0.998,NA
"342",NA,"GLMM","5"," 4","0.1","1.5",0.38,0.998,NA
"343",NA,"GLMM","5"," 4","0.1","1.5",0.39,0.998,NA
"344",NA,"GLMM","5"," 4","0.1","1.5",0.4,0.998,NA
