"","method","dataset","sampleSize","simulation","FPR","foldEffect","fpr","tpr"
"119","DESeq2","circexplorer2_star","5"," 2","0.1","1.5",0.17,0.639175257731959
"120","DESeq2","circexplorer2_star","5"," 2","0.1","1.5",0.18,0.639175257731959
"121","DESeq2","circexplorer2_star","5"," 2","0.1","1.5",0.19,0.639175257731959
"122","DESeq2","circexplorer2_star","5"," 2","0.1","1.5",0.2,0.639175257731959
"123","DESeq2","circexplorer2_star","5"," 2","0.1","1.5",0.21,0.639175257731959
"124","DESeq2","circexplorer2_star","5"," 2","0.1","1.5",0.22,0.639175257731959
"125","DESeq2","circexplorer2_star","5"," 2","0.1","1.5",0.23,0.639175257731959
"126","DESeq2","circexplorer2_star","5"," 2","0.1","1.5",0.24,0.639175257731959
"127","DESeq2","circexplorer2_star","5"," 2","0.1","1.5",0.25,0.639175257731959
"128","DESeq2","circexplorer2_star","5"," 2","0.1","1.5",0.26,0.639175257731959
"129","DESeq2","circexplorer2_star","5"," 2","0.1","1.5",0.27,0.639175257731959
"130","DESeq2","circexplorer2_star","5"," 2","0.1","1.5",0.28,0.639175257731959
"131","DESeq2","circexplorer2_star","5"," 2","0.1","1.5",0.29,0.639175257731959
"132","DESeq2","circexplorer2_star","5"," 2","0.1","1.5",0.3,0.639175257731959
"133","DESeq2","circexplorer2_star","5"," 2","0.1","1.5",0.31,0.639175257731959
"134","DESeq2","circexplorer2_star","5"," 2","0.1","1.5",0.32,0.639175257731959
"135","DESeq2","circexplorer2_star","5"," 2","0.1","1.5",0.33,0.649484536082474
"136","DESeq2","circexplorer2_star","5"," 2","0.1","1.5",0.34,0.649484536082474
"137","DESeq2","circexplorer2_star","5"," 2","0.1","1.5",0.35,0.649484536082474
"138","DESeq2","circexplorer2_star","5"," 2","0.1","1.5",0.36,0.649484536082474
"139","DESeq2","circexplorer2_star","5"," 2","0.1","1.5",0.37,0.649484536082474
"140","DESeq2","circexplorer2_star","5"," 2","0.1","1.5",0.38,0.649484536082474
"141","DESeq2","circexplorer2_star","5"," 2","0.1","1.5",0.39,0.649484536082474
"142","DESeq2","circexplorer2_star","5"," 2","0.1","1.5",0.4,0.649484536082474
"143","DESeq2","circexplorer2_star","5"," 2","0.1","1.5",0.41,0.649484536082474
"144","DESeq2","circexplorer2_star","5"," 2","0.1","1.5",0.42,0.649484536082474
"145","DESeq2","circexplorer2_star","5"," 2","0.1","1.5",0.43,0.649484536082474
"146","DESeq2","circexplorer2_star","5"," 2","0.1","1.5",0.44,0.65979381443299
"147","DESeq2","circexplorer2_star","5"," 2","0.1","1.5",0.45,0.65979381443299
"148","DESeq2","circexplorer2_star","5"," 2","0.1","1.5",0.46,0.662371134020619
"149","DESeq2","circexplorer2_star","5"," 2","0.1","1.5",0.47,0.662371134020619
"150","DESeq2","circexplorer2_star","5"," 2","0.1","1.5",0.48,0.662371134020619
"151","DESeq2","circexplorer2_star","5"," 2","0.1","1.5",0.49,0.662371134020619
"152","DESeq2","circexplorer2_star","5"," 2","0.1","1.5",0.5,0.662371134020619
"153","DESeq2","circexplorer2_star","5"," 2","0.1","1.5",0.51,0.662371134020619
"154","DESeq2","circexplorer2_star","5"," 2","0.1","1.5",0.52,0.662371134020619
"155","DESeq2","circexplorer2_star","5"," 2","0.1","1.5",0.53,0.662371134020619
"156","DESeq2","circexplorer2_star","5"," 2","0.1","1.5",0.54,0.662371134020619
"157","DESeq2","circexplorer2_star","5"," 2","0.1","1.5",0.55,0.662371134020619
"158","DESeq2","circexplorer2_star","5"," 2","0.1","1.5",0.56,0.662371134020619
"159","DESeq2","circexplorer2_star","5"," 2","0.1","1.5",0.57,0.662371134020619
"160","DESeq2","circexplorer2_star","5"," 2","0.1","1.5",0.58,0.662371134020619
"161","DESeq2","circexplorer2_star","5"," 2","0.1","1.5",0.59,0.662371134020619
"162","DESeq2","circexplorer2_star","5"," 2","0.1","1.5",0.6,0.662371134020619
"163","DESeq2","circexplorer2_star","5"," 2","0.1","1.5",0.61,0.662371134020619
"164","DESeq2","circexplorer2_star","5"," 2","0.1","1.5",0.62,0.662371134020619
"165","DESeq2","circexplorer2_star","5"," 2","0.1","1.5",0.63,0.662371134020619
"166","DESeq2","circexplorer2_star","5"," 2","0.1","1.5",0.64,0.662371134020619
"167","DESeq2","circexplorer2_star","5"," 2","0.1","1.5",0.65,0.662371134020619
"168","DESeq2","circexplorer2_star","5"," 2","0.1","1.5",0.66,0.662371134020619
"169","DESeq2","circexplorer2_star","5"," 2","0.1","1.5",0.67,0.662371134020619
"170","DESeq2","circexplorer2_star","5"," 2","0.1","1.5",0.68,0.662371134020619
"171","DESeq2","circexplorer2_star","5"," 2","0.1","1.5",0.69,0.662371134020619
"172","DESeq2","circexplorer2_star","5"," 2","0.1","1.5",0.7,0.662371134020619
"173","DESeq2","circexplorer2_star","5"," 2","0.1","1.5",0.71,0.662371134020619
"174","DESeq2","circexplorer2_star","5"," 2","0.1","1.5",0.72,0.662371134020619
"175","DESeq2","circexplorer2_star","5"," 2","0.1","1.5",0.73,0.662371134020619
"176","DESeq2","circexplorer2_star","5"," 2","0.1","1.5",0.74,0.662371134020619
"177","DESeq2","circexplorer2_star","5"," 2","0.1","1.5",0.75,0.662371134020619
"178","DESeq2","circexplorer2_star","5"," 2","0.1","1.5",0.76,0.662371134020619
"179","DESeq2","circexplorer2_star","5"," 2","0.1","1.5",0.77,0.662371134020619
"180","DESeq2","circexplorer2_star","5"," 2","0.1","1.5",0.78,0.662371134020619
"181","DESeq2","circexplorer2_star","5"," 2","0.1","1.5",0.79,0.662371134020619
"182","DESeq2","circexplorer2_star","5"," 2","0.1","1.5",0.8,0.662371134020619
"183","DESeq2","circexplorer2_star","5"," 2","0.1","1.5",0.81,0.662371134020619
"184","DESeq2","circexplorer2_star","5"," 2","0.1","1.5",0.82,0.662371134020619
"185","DESeq2","circexplorer2_star","5"," 2","0.1","1.5",0.83,0.662371134020619
"186","DESeq2","circexplorer2_star","5"," 2","0.1","1.5",0.84,0.662371134020619
"187","DESeq2","circexplorer2_star","5"," 2","0.1","1.5",0.85,0.662371134020619
"188","DESeq2","circexplorer2_star","5"," 2","0.1","1.5",0.86,0.662371134020619
"189","DESeq2","circexplorer2_star","5"," 2","0.1","1.5",0.87,0.662371134020619
"190","DESeq2","circexplorer2_star","5"," 2","0.1","1.5",0.88,0.662371134020619
"191","DESeq2","circexplorer2_star","5"," 2","0.1","1.5",0.89,0.662371134020619
"192","DESeq2","circexplorer2_star","5"," 2","0.1","1.5",0.9,0.662371134020619
"193","DESeq2","circexplorer2_star","5"," 2","0.1","1.5",0.91,0.662371134020619
"194","DESeq2","circexplorer2_star","5"," 2","0.1","1.5",0.92,0.662371134020619
"195","DESeq2","circexplorer2_star","5"," 2","0.1","1.5",0.93,0.662371134020619
"196","DESeq2","circexplorer2_star","5"," 2","0.1","1.5",0.94,0.662371134020619
"197","DESeq2","circexplorer2_star","5"," 2","0.1","1.5",0.95,0.662371134020619
"198","DESeq2","circexplorer2_star","5"," 2","0.1","1.5",0.96,0.662371134020619
"199","DESeq2","circexplorer2_star","5"," 2","0.1","1.5",0.97,0.662371134020619
"200","DESeq2","circexplorer2_star","5"," 2","0.1","1.5",0.98,0.662371134020619
"201","DESeq2","circexplorer2_star","5"," 2","0.1","1.5",0.99,0.662371134020619
"202","DESeq2","circexplorer2_star","5"," 2","0.1","1.5",1,1
"203","DESeq2","circexplorer2_star","5"," 3","0.1","1.5",0,0
"204","DESeq2","circexplorer2_star","5"," 3","0.1","1.5",0.01,0.536294939317609
"205","DESeq2","circexplorer2_star","5"," 3","0.1","1.5",0.02,0.572682213374502
"206","DESeq2","circexplorer2_star","5"," 3","0.1","1.5",0.03,0.584562792371357
"207","DESeq2","circexplorer2_star","5"," 3","0.1","1.5",0.04,0.592397526906343
"208","DESeq2","circexplorer2_star","5"," 3","0.1","1.5",0.05,0.600503778337532
"209","DESeq2","circexplorer2_star","5"," 3","0.1","1.5",0.06,0.611670864819479
"210","DESeq2","circexplorer2_star","5"," 3","0.1","1.5",0.07,0.614609571788413
"211","DESeq2","circexplorer2_star","5"," 3","0.1","1.5",0.08,0.614609571788413
"212","DESeq2","circexplorer2_star","5"," 3","0.1","1.5",0.09,0.617128463476071
"213","DESeq2","circexplorer2_star","5"," 3","0.1","1.5",0.1,0.617128463476071
"214","DESeq2","circexplorer2_star","5"," 3","0.1","1.5",0.11,0.617128463476071
"215","DESeq2","circexplorer2_star","5"," 3","0.1","1.5",0.12,0.617128463476071
"216","DESeq2","circexplorer2_star","5"," 3","0.1","1.5",0.13,0.622166246851385
"217","DESeq2","circexplorer2_star","5"," 3","0.1","1.5",0.14,0.624325296869378
"218","DESeq2","circexplorer2_star","5"," 3","0.1","1.5",0.15,0.6272040302267
"219","DESeq2","circexplorer2_star","5"," 3","0.1","1.5",0.16,0.6272040302267
"220","DESeq2","circexplorer2_star","5"," 3","0.1","1.5",0.17,0.6272040302267
"221","DESeq2","circexplorer2_star","5"," 3","0.1","1.5",0.18,0.6272040302267
"222","DESeq2","circexplorer2_star","5"," 3","0.1","1.5",0.19,0.6272040302267
"223","DESeq2","circexplorer2_star","5"," 3","0.1","1.5",0.2,0.6272040302267
"224","DESeq2","circexplorer2_star","5"," 3","0.1","1.5",0.21,0.6272040302267
"225","DESeq2","circexplorer2_star","5"," 3","0.1","1.5",0.22,0.6272040302267
"226","DESeq2","circexplorer2_star","5"," 3","0.1","1.5",0.23,0.6272040302267
"227","DESeq2","circexplorer2_star","5"," 3","0.1","1.5",0.24,0.6272040302267
"228","DESeq2","circexplorer2_star","5"," 3","0.1","1.5",0.25,0.6272040302267
"229","DESeq2","circexplorer2_star","5"," 3","0.1","1.5",0.26,0.6272040302267
"230","DESeq2","circexplorer2_star","5"," 3","0.1","1.5",0.27,0.6272040302267
"231","DESeq2","circexplorer2_star","5"," 3","0.1","1.5",0.28,0.6272040302267
"232","DESeq2","circexplorer2_star","5"," 3","0.1","1.5",0.29,0.6272040302267
"233","DESeq2","circexplorer2_star","5"," 3","0.1","1.5",0.3,0.6272040302267
"234","DESeq2","circexplorer2_star","5"," 3","0.1","1.5",0.31,0.6272040302267
"235","DESeq2","circexplorer2_star","5"," 3","0.1","1.5",0.32,0.6272040302267
"236","DESeq2","circexplorer2_star","5"," 3","0.1","1.5",0.33,0.6272040302267
"237","DESeq2","circexplorer2_star","5"," 3","0.1","1.5",0.34,0.6272040302267
"238","DESeq2","circexplorer2_star","5"," 3","0.1","1.5",0.35,0.63727959697733
"239","DESeq2","circexplorer2_star","5"," 3","0.1","1.5",0.36,0.63727959697733
"240","DESeq2","circexplorer2_star","5"," 3","0.1","1.5",0.37,0.63727959697733
