"","method","dataset","sampleSize","simulation","FPR","foldEffect","fpr","tpr","se"
"192","DESeq2","circexplorer2_star","5"," 2","0.1","1.5",0.9,0.662371134020619,NA
"193","DESeq2","circexplorer2_star","5"," 2","0.1","1.5",0.91,0.662371134020619,NA
"194","DESeq2","circexplorer2_star","5"," 2","0.1","1.5",0.92,0.662371134020619,NA
"195","DESeq2","circexplorer2_star","5"," 2","0.1","1.5",0.93,0.662371134020619,NA
"196","DESeq2","circexplorer2_star","5"," 2","0.1","1.5",0.94,0.662371134020619,NA
"197","DESeq2","circexplorer2_star","5"," 2","0.1","1.5",0.95,0.662371134020619,NA
"198","DESeq2","circexplorer2_star","5"," 2","0.1","1.5",0.96,0.662371134020619,NA
"199","DESeq2","circexplorer2_star","5"," 2","0.1","1.5",0.97,0.662371134020619,NA
"200","DESeq2","circexplorer2_star","5"," 2","0.1","1.5",0.98,0.662371134020619,NA
"201","DESeq2","circexplorer2_star","5"," 2","0.1","1.5",0.99,0.662371134020619,NA
"202","DESeq2","circexplorer2_star","5"," 2","0.1","1.5",1,1,NA
"203","DESeq2","circexplorer2_star","5"," 3","0.1","1.5",0,0,NA
"204","DESeq2","circexplorer2_star","5"," 3","0.1","1.5",0.01,0.536294939317609,NA
"205","DESeq2","circexplorer2_star","5"," 3","0.1","1.5",0.02,0.572682213374502,NA
"206","DESeq2","circexplorer2_star","5"," 3","0.1","1.5",0.03,0.584562792371357,NA
"207","DESeq2","circexplorer2_star","5"," 3","0.1","1.5",0.04,0.592397526906343,NA
"208","DESeq2","circexplorer2_star","5"," 3","0.1","1.5",0.05,0.600503778337532,NA
"209","DESeq2","circexplorer2_star","5"," 3","0.1","1.5",0.06,0.611670864819479,NA
"210","DESeq2","circexplorer2_star","5"," 3","0.1","1.5",0.07,0.614609571788413,NA
"211","DESeq2","circexplorer2_star","5"," 3","0.1","1.5",0.08,0.614609571788413,NA
"212","DESeq2","circexplorer2_star","5"," 3","0.1","1.5",0.09,0.617128463476071,NA
"213","DESeq2","circexplorer2_star","5"," 3","0.1","1.5",0.1,0.617128463476071,NA
"214","DESeq2","circexplorer2_star","5"," 3","0.1","1.5",0.11,0.617128463476071,NA
"215","DESeq2","circexplorer2_star","5"," 3","0.1","1.5",0.12,0.617128463476071,NA
"216","DESeq2","circexplorer2_star","5"," 3","0.1","1.5",0.13,0.622166246851385,NA
"217","DESeq2","circexplorer2_star","5"," 3","0.1","1.5",0.14,0.624325296869378,NA
"218","DESeq2","circexplorer2_star","5"," 3","0.1","1.5",0.15,0.6272040302267,NA
"219","DESeq2","circexplorer2_star","5"," 3","0.1","1.5",0.16,0.6272040302267,NA
"220","DESeq2","circexplorer2_star","5"," 3","0.1","1.5",0.17,0.6272040302267,NA
"221","DESeq2","circexplorer2_star","5"," 3","0.1","1.5",0.18,0.6272040302267,NA
"222","DESeq2","circexplorer2_star","5"," 3","0.1","1.5",0.19,0.6272040302267,NA
"223","DESeq2","circexplorer2_star","5"," 3","0.1","1.5",0.2,0.6272040302267,NA
"224","DESeq2","circexplorer2_star","5"," 3","0.1","1.5",0.21,0.6272040302267,NA
"225","DESeq2","circexplorer2_star","5"," 3","0.1","1.5",0.22,0.6272040302267,NA
"226","DESeq2","circexplorer2_star","5"," 3","0.1","1.5",0.23,0.6272040302267,NA
"227","DESeq2","circexplorer2_star","5"," 3","0.1","1.5",0.24,0.6272040302267,NA
"228","DESeq2","circexplorer2_star","5"," 3","0.1","1.5",0.25,0.6272040302267,NA
"229","DESeq2","circexplorer2_star","5"," 3","0.1","1.5",0.26,0.6272040302267,NA
"230","DESeq2","circexplorer2_star","5"," 3","0.1","1.5",0.27,0.6272040302267,NA
"231","DESeq2","circexplorer2_star","5"," 3","0.1","1.5",0.28,0.6272040302267,NA
"232","DESeq2","circexplorer2_star","5"," 3","0.1","1.5",0.29,0.6272040302267,NA
"233","DESeq2","circexplorer2_star","5"," 3","0.1","1.5",0.3,0.6272040302267,NA
"234","DESeq2","circexplorer2_star","5"," 3","0.1","1.5",0.31,0.6272040302267,NA
"235","DESeq2","circexplorer2_star","5"," 3","0.1","1.5",0.32,0.6272040302267,NA
"236","DESeq2","circexplorer2_star","5"," 3","0.1","1.5",0.33,0.6272040302267,NA
"237","DESeq2","circexplorer2_star","5"," 3","0.1","1.5",0.34,0.6272040302267,NA
"238","DESeq2","circexplorer2_star","5"," 3","0.1","1.5",0.35,0.63727959697733,NA
"239","DESeq2","circexplorer2_star","5"," 3","0.1","1.5",0.36,0.63727959697733,NA
"240","DESeq2","circexplorer2_star","5"," 3","0.1","1.5",0.37,0.63727959697733,NA
"241","DESeq2","circexplorer2_star","5"," 3","0.1","1.5",0.38,0.63727959697733,NA
"242","DESeq2","circexplorer2_star","5"," 3","0.1","1.5",0.39,0.63727959697733,NA
"243","DESeq2","circexplorer2_star","5"," 3","0.1","1.5",0.4,0.639798488664987,NA
"244","DESeq2","circexplorer2_star","5"," 3","0.1","1.5",0.41,0.639798488664987,NA
"245","DESeq2","circexplorer2_star","5"," 3","0.1","1.5",0.42,0.639798488664987,NA
"246","DESeq2","circexplorer2_star","5"," 3","0.1","1.5",0.43,0.639798488664987,NA
"247","DESeq2","circexplorer2_star","5"," 3","0.1","1.5",0.44,0.639798488664987,NA
"248","DESeq2","circexplorer2_star","5"," 3","0.1","1.5",0.45,0.639798488664987,NA
"249","DESeq2","circexplorer2_star","5"," 3","0.1","1.5",0.46,0.639798488664987,NA
"250","DESeq2","circexplorer2_star","5"," 3","0.1","1.5",0.47,0.639798488664987,NA
"251","DESeq2","circexplorer2_star","5"," 3","0.1","1.5",0.48,0.639798488664987,NA
"252","DESeq2","circexplorer2_star","5"," 3","0.1","1.5",0.49,0.639798488664987,NA
"253","DESeq2","circexplorer2_star","5"," 3","0.1","1.5",0.5,0.639798488664987,NA
"254","DESeq2","circexplorer2_star","5"," 3","0.1","1.5",0.51,0.639798488664987,NA
"255","DESeq2","circexplorer2_star","5"," 3","0.1","1.5",0.52,0.639798488664987,NA
"256","DESeq2","circexplorer2_star","5"," 3","0.1","1.5",0.53,0.639798488664987,NA
"257","DESeq2","circexplorer2_star","5"," 3","0.1","1.5",0.54,0.639798488664987,NA
"258","DESeq2","circexplorer2_star","5"," 3","0.1","1.5",0.55,0.639798488664987,NA
"259","DESeq2","circexplorer2_star","5"," 3","0.1","1.5",0.56,0.639798488664987,NA
"260","DESeq2","circexplorer2_star","5"," 3","0.1","1.5",0.57,0.639798488664987,NA
"261","DESeq2","circexplorer2_star","5"," 3","0.1","1.5",0.58,0.639798488664987,NA
"262","DESeq2","circexplorer2_star","5"," 3","0.1","1.5",0.59,0.639798488664987,NA
"263","DESeq2","circexplorer2_star","5"," 3","0.1","1.5",0.6,0.639798488664987,NA
"264","DESeq2","circexplorer2_star","5"," 3","0.1","1.5",0.61,0.639798488664987,NA
"265","DESeq2","circexplorer2_star","5"," 3","0.1","1.5",0.62,0.639798488664987,NA
"266","DESeq2","circexplorer2_star","5"," 3","0.1","1.5",0.63,0.639798488664987,NA
"267","DESeq2","circexplorer2_star","5"," 3","0.1","1.5",0.64,0.639798488664987,NA
"268","DESeq2","circexplorer2_star","5"," 3","0.1","1.5",0.65,0.639798488664987,NA
"269","DESeq2","circexplorer2_star","5"," 3","0.1","1.5",0.66,0.639798488664987,NA
"270","DESeq2","circexplorer2_star","5"," 3","0.1","1.5",0.67,0.639798488664987,NA
"271","DESeq2","circexplorer2_star","5"," 3","0.1","1.5",0.68,0.639798488664987,NA
"272","DESeq2","circexplorer2_star","5"," 3","0.1","1.5",0.69,0.639798488664987,NA
"273","DESeq2","circexplorer2_star","5"," 3","0.1","1.5",0.7,0.639798488664987,NA
"274","DESeq2","circexplorer2_star","5"," 3","0.1","1.5",0.71,0.639798488664987,NA
"275","DESeq2","circexplorer2_star","5"," 3","0.1","1.5",0.72,0.639798488664987,NA
"276","DESeq2","circexplorer2_star","5"," 3","0.1","1.5",0.73,0.639798488664987,NA
"277","DESeq2","circexplorer2_star","5"," 3","0.1","1.5",0.74,0.639798488664987,NA
"278","DESeq2","circexplorer2_star","5"," 3","0.1","1.5",0.75,0.639798488664987,NA
"279","DESeq2","circexplorer2_star","5"," 3","0.1","1.5",0.76,0.639798488664987,NA
"280","DESeq2","circexplorer2_star","5"," 3","0.1","1.5",0.77,0.639798488664987,NA
"281","DESeq2","circexplorer2_star","5"," 3","0.1","1.5",0.78,0.639798488664987,NA
"282","DESeq2","circexplorer2_star","5"," 3","0.1","1.5",0.79,0.639798488664987,NA
"283","DESeq2","circexplorer2_star","5"," 3","0.1","1.5",0.8,0.639798488664987,NA
"284","DESeq2","circexplorer2_star","5"," 3","0.1","1.5",0.81,0.639798488664987,NA
"285","DESeq2","circexplorer2_star","5"," 3","0.1","1.5",0.82,0.639798488664987,NA
"286","DESeq2","circexplorer2_star","5"," 3","0.1","1.5",0.83,0.639798488664987,NA
"287","DESeq2","circexplorer2_star","5"," 3","0.1","1.5",0.84,0.639798488664987,NA
"288","DESeq2","circexplorer2_star","5"," 3","0.1","1.5",0.85,0.639798488664987,NA
"289","DESeq2","circexplorer2_star","5"," 3","0.1","1.5",0.86,0.639798488664987,NA
"290","DESeq2","circexplorer2_star","5"," 3","0.1","1.5",0.87,0.639798488664987,NA
"291","DESeq2","circexplorer2_star","5"," 3","0.1","1.5",0.88,0.639798488664987,NA
"292","DESeq2","circexplorer2_star","5"," 3","0.1","1.5",0.89,0.639798488664987,NA
"293","DESeq2","circexplorer2_star","5"," 3","0.1","1.5",0.9,0.639798488664987,NA
"294","DESeq2","circexplorer2_star","5"," 3","0.1","1.5",0.91,0.639798488664987,NA
"295","DESeq2","circexplorer2_star","5"," 3","0.1","1.5",0.92,0.639798488664987,NA
