"","method","NA_Proportion","TPs","DECs","Sensitivity","Specificity","FDR","AUC","simulation","dataset","distribution","sampleSize","FPR","foldEffect","seed"
"131","edgeR-robust",0,988,988,0.854251012145749,0.987537554245021,0.117154811715481,0.989799086760054," 3","dcc","NB","5","0.1","1.5","141246159"
"132","GLMM",0,500,500,1,0.999111111111111,0.00793650793650794,1," 3","dcc","NB","5","0.1","1.5","141246159"
"133","DESeq2",0,994,994,0.858148893360161,0.996327620743379,0.0372460496613995,0.994014106898228," 4","dcc","NB","5","0.1","1.5","125151166"
"134","voom",0,994,994,0.87625754527163,0.996105052303583,0.0386313465783664,0.992356766909046," 4","dcc","NB","5","0.1","1.5","125151166"
"135","edgeR-robust",0,994,994,0.877263581488934,0.988426441130648,0.10655737704918,0.989842068211628," 4","dcc","NB","5","0.1","1.5","125151166"
"136","GLMM",0,500,500,1,0.998888888888889,0.0099009900990099,0.999998222222222," 4","dcc","NB","5","0.1","1.5","125151166"
"137","DESeq2",0,990,990,0.84949494949495,0.995663775850567,0.0443181818181818,0.994348476986903," 5","dcc","NB","5","0.1","1.5","151418905"
"138","voom",0,990,990,0.884848484848485,0.99477429397376,0.0509209100758397,0.99309590231872," 5","dcc","NB","5","0.1","1.5","151418905"
"139","edgeR-robust",0,990,990,0.871717171717172,0.987547253724705,0.114871794871795,0.990026347531352," 5","dcc","NB","5","0.1","1.5","151418905"
"140","GLMM",0,500,500,1,0.999111111111111,0.00793650793650794,1," 5","dcc","NB","5","0.1","1.5","151418905"
"141","DESeq2",0,994,994,0.866197183098592,0.994993324432577,0.0496688741721854,0.995662784002636," 6","dcc","NB","5","0.1","1.5","106255048"
"142","voom",0,994,994,0.873239436619718,0.995883400089008,0.0408839779005525,0.994842049627538," 6","dcc","NB","5","0.1","1.5","106255048"
"143","edgeR-robust",0,994,994,0.862173038229376,0.9884290164664,0.108220603537981,0.991989486988683," 6","dcc","NB","5","0.1","1.5","106255048"
"144","GLMM",0,500,500,1,0.999111111111111,0.00793650793650794,1," 6","dcc","NB","5","0.1","1.5","106255048"
"145","DESeq2",0,992,992,0.850806451612903,0.995550116809434,0.0452488687782805,0.994690867691337," 7","dcc","NB","5","0.1","1.5","197329382"
"146","voom",0,992,992,0.848790322580645,0.995772610968962,0.0431818181818182,0.993364818200743," 7","dcc","NB","5","0.1","1.5","197329382"
"147","edgeR-robust",0,992,992,0.856854838709677,0.98742907998665,0.117341640706127,0.990714064950355," 7","dcc","NB","5","0.1","1.5","197329382"
"148","GLMM",0,500,500,1,0.999555555555556,0.00398406374501992,1," 7","dcc","NB","5","0.1","1.5","197329382"
"149","DESeq2",0,991,991,0.842583249243189,0.996663701067616,0.0346820809248555,0.995170221944117," 8","dcc","NB","5","0.1","1.5"," 58305687"
"150","voom",0,991,991,0.868819374369324,0.996774911032028,0.0325842696629213,0.993420095808899," 8","dcc","NB","5","0.1","1.5"," 58305687"
"151","edgeR-robust",0,991,991,0.863773965691221,0.987989323843416,0.112033195020747,0.990710376933328," 8","dcc","NB","5","0.1","1.5"," 58305687"
"152","GLMM",0,500,500,1,0.998444444444444,0.0138067061143984,0.999998666666667," 8","dcc","NB","5","0.1","1.5"," 58305687"
"153","DESeq2",0,982,982,0.862525458248472,0.995773551329107,0.0429378531073446,0.996229710135571," 9","dcc","NB","5","0.1","1.5","136385172"
"154","voom",0,982,982,0.867617107942974,0.995551106662218,0.0448430493273543,0.99428196016791," 9","dcc","NB","5","0.1","1.5","136385172"
"155","edgeR-robust",0,982,982,0.864562118126273,0.987209431653876,0.119294605809129,0.991965092496885," 9","dcc","NB","5","0.1","1.5","136385172"
"156","GLMM",0,500,500,1,0.999555555555556,0.00398406374501992,1," 9","dcc","NB","5","0.1","1.5","136385172"
"157","DESeq2",0,993,993,0.860020140986908,0.995551106662218,0.0447427293064877,0.995259778072803,"10","dcc","NB","5","0.1","1.5"," 77186875"
"158","voom",0,993,993,0.885196374622356,0.995662328995662,0.042483660130719,0.994358518751491,"10","dcc","NB","5","0.1","1.5"," 77186875"
"159","edgeR-robust",0,993,993,0.872104733131923,0.987209431653876,0.117227319062181,0.990498554949714,"10","dcc","NB","5","0.1","1.5"," 77186875"
"160","GLMM",0,500,500,1,0.999111111111111,0.00793650793650794,1,"10","dcc","NB","5","0.1","1.5"," 77186875"
"161","DESeq2",0,989,989,0.851365015166835,0.9956628113879,0.0442678774120318,0.99533660298875,"11","dcc","NB","5","0.1","1.5"," 43763695"
"162","voom",0,989,989,0.867542972699697,0.997108540925267,0.0294117647058824,0.994144778506633,"11","dcc","NB","5","0.1","1.5"," 43763695"
"163","edgeR-robust",0,989,989,0.872598584428716,0.989435053380783,0.0991649269311065,0.991674545444737,"11","dcc","NB","5","0.1","1.5"," 43763695"
"164","GLMM",0,500,500,0.998,0.999111111111111,0.00795228628230616,0.999996,"11","dcc","NB","5","0.1","1.5"," 43763695"
"165","DESeq2",0,994,994,0.86317907444668,0.995440898476593,0.0456062291434928,0.994122077063741,"12","dcc","NB","5","0.1","1.5","169908413"
"166","voom",0,994,994,0.892354124748491,0.994996108084065,0.0482832618025751,0.993671357624237,"12","dcc","NB","5","0.1","1.5","169908413"
