"","method","NA_Proportion","TPs","DECs","Sensitivity","Specificity","FDR","AUC","simulation","dataset","distribution","sampleSize","FPR","foldEffect","seed"
"77","voom",0,456,456,0.179824561403509,0.996689524710333,0.145833333333333,0.838631442048014,"26","findcirc","NB","5","0.1","1.5","180071987"
"78","edgeR-robust",0,456,456,0.282894736842105,0.995270749586191,0.134228187919463,0.836897124283872,"26","findcirc","NB","5","0.1","1.5","180071987"
"79","DESeq2",0.46872322193659,446,446,0.418181818181818,0.994104308390023,0.1015625,0.686372418232066,"27","findcirc","NB","5","0.1","1.5"," 51632376"
"80","voom",0,446,446,0.195067264573991,0.996920890573188,0.13,0.854914360609492,"27","findcirc","NB","5","0.1","1.5"," 51632376"
"81","edgeR-robust",0,446,446,0.286995515695067,0.996684036001895,0.0985915492957746,0.856316900795108,"27","findcirc","NB","5","0.1","1.5"," 51632376"
"82","DESeq2",0.467237687366167,451,451,0.541379310344828,0.991355777979982,0.107954545454545,0.707753279562574,"28","findcirc","NB","5","0.1","1.5"," 29403850"
"83","voom",0,451,451,0.268292682926829,0.995022517184167,0.147887323943662,0.844298230631253,"28","findcirc","NB","5","0.1","1.5"," 29403850"
"84","edgeR-robust",0,451,451,0.363636363636364,0.992652287271865,0.158974358974359,0.848885229893907,"28","findcirc","NB","5","0.1","1.5"," 29403850"
"85","DESeq2",0.505218317358892,455,455,0.521739130434783,0.989624505928854,0.11864406779661,0.731479628861704,"29","findcirc","NB","5","0.1","1.5"," 86980343"
"86","voom",0,455,455,0.241758241758242,0.996462264150943,0.12,0.883853929089778,"29","findcirc","NB","5","0.1","1.5"," 86980343"
"87","edgeR-robust",0,455,455,0.32967032967033,0.994103773584906,0.142857142857143,0.889803027161519,"29","findcirc","NB","5","0.1","1.5"," 86980343"
"88","DESeq2",0.564828614008942,450,450,0.567272727272727,0.988694177501413,0.113636363636364,0.709472307249562,"30","findcirc","NB","5","0.1","1.5"," 61855848"
"89","voom",0,450,450,0.231111111111111,0.997645396750648,0.087719298245614,0.852086178478927,"30","findcirc","NB","5","0.1","1.5"," 61855848"
"90","edgeR-robust",0,450,450,0.355555555555556,0.994584412526489,0.12568306010929,0.861787928734007,"30","findcirc","NB","5","0.1","1.5"," 61855848"
"91","DESeq2",0.620290568825412,394,394,0.436363636363636,0.999243570347958,0.0103092783505155,0.691482131066073," 1","dcc","NB","5","0.1","1.5","247231146"
"92","voom",0,394,394,0.289340101522843,0.998363785110445,0.05,0.887764587160281," 1","dcc","NB","5","0.1","1.5","247231146"
"93","edgeR-robust",0,394,394,0.266497461928934,0.998636487592037,0.0454545454545455,0.891113498219128," 1","dcc","NB","5","0.1","1.5","247231146"
"94","DESeq2",0.601072909046574,399,399,0.411764705882353,0.996423462088698,0.0485436893203883,0.714607967785482," 2","dcc","NB","5","0.1","1.5","179489772"
"95","voom",0,399,399,0.31328320802005,0.998919502971367,0.0310077519379845,0.905185370232714," 2","dcc","NB","5","0.1","1.5","179489772"
"96","edgeR-robust",0,399,399,0.295739348370927,0.998919502971367,0.0327868852459016,0.909124851567059," 2","dcc","NB","5","0.1","1.5","179489772"
"97","DESeq2",0.562561819980218,393,393,0.494117647058824,0.997357992073976,0.0307692307692308,0.741947028350837," 3","dcc","NB","5","0.1","1.5","141246159"
"98","voom",0,393,393,0.371501272264631,0.997261024376883,0.0641025641025641,0.891035116734026," 3","dcc","NB","5","0.1","1.5","141246159"
"99","edgeR-robust",0,393,393,0.366412213740458,0.998904409750753,0.027027027027027,0.884684596154422," 3","dcc","NB","5","0.1","1.5","141246159"
"100","DESeq2",0.562257751937985,408,408,0.465863453815261,1,0,0.716764837655492," 4","dcc","NB","5","0.1","1.5","125151166"
